date,description,amount
2026-01-01,Salary,12000
2026-01-02,Groceries,-850
2026-01-03,Transport,-120
2026-01-05,Electricity,-600
2026-01-06,Restaurant,-300
2026-01-08,Clothing,-450
2026-01-10,Internet,-200
2026-01-12,Groceries,-900
2026-01-15,Transport,-150
2026-01-18,Entertainment,-250
2026-01-20,Salary,12000
2026-01-22,Rent,-3500
2026-01-25,Groceries,-780
2026-01-27,Restaurant,-400
2026-01-29,Transport,-100

2026-02-01,Salary,12000
2026-02-02,Groceries,-920
2026-02-03,Transport,-140
2026-02-05,Electricity,-650
2026-02-06,Restaurant,-320
2026-02-08,Clothing,-500
2026-02-10,Internet,-200
2026-02-12,Groceries,-870
2026-02-15,Transport,-180
2026-02-18,Entertainment,-300
2026-02-20,Salary,12000
2026-02-22,Rent,-3500
2026-02-25,Groceries,-820
2026-02-27,Restaurant,-380
2026-02-28,Transport,-120

2026-03-01,Salary,12000
2026-03-02,Groceries,-880
2026-03-03,Transport,-130
2026-03-05,Electricity,-620
2026-03-06,Restaurant,-310
2026-03-08,Clothing,-470
2026-03-10,Internet,-200
2026-03-12,Groceries,-910
2026-03-15,Transport,-160
2026-03-18,Entertainment,-280
2026-03-20,Salary,12000
2026-03-22,Rent,-3500
2026-03-25,Groceries,-790
2026-03-27,Restaurant,-410
2026-03-29,Transport,-110
